Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
157,2021,4 weeks, All Redfin Metros,metro,5/10/2021,6/6/2021,106738,0.208113094,20.80%
27,2019,4 weeks, All Redfin Metros,metro,12/31/2018,1/27/2019,67136,0.029188129,2.90%
34,2019,4 weeks, All Redfin Metros,metro,1/7/2019,2/3/2019,73058,0.024785737,2.50%
62,2019,4 weeks, All Redfin Metros,metro,2/4/2019,3/3/2019,80156,-0.047711828,-4.80%
69,2019,4 weeks, All Redfin Metros,metro,2/11/2019,3/10/2019,82976,-0.054005678,-5.40%
76,2019,4 weeks, All Redfin Metros,metro,2/18/2019,3/17/2019,86917,-0.046241125,-4.60%
83,2019,4 weeks, All Redfin Metros,metro,2/25/2019,3/24/2019,91376,-0.036727809,-3.70%
90,2019,4 weeks, All Redfin Metros,metro,3/4/2019,3/31/2019,93112,0.013530135,1.40%
104,2019,4 weeks, All Redfin Metros,metro,3/18/2019,4/14/2019,101698,0.046986637,4.70%
146,2019,4 weeks, All Redfin Metros,metro,4/29/2019,5/26/2019,105970,-0.012781577,-1.30%
153,2019,4 weeks, All Redfin Metros,metro,5/6/2019,6/2/2019,102184,-0.013639391,-1.40%
188,2019,4 weeks, All Redfin Metros,metro,6/10/2019,7/7/2019,94128,-0.019397854,-1.90%
195,2019,4 weeks, All Redfin Metros,metro,6/17/2019,7/14/2019,94259,-0.022422501,-2.20%
223,2019,4 weeks, All Redfin Metros,metro,7/15/2019,8/11/2019,91747,-0.029008975,-2.90%
244,2019,4 weeks, All Redfin Metros,metro,8/5/2019,9/1/2019,85071,-0.018687061,-1.90%
251,2019,4 weeks, All Redfin Metros,metro,8/12/2019,9/8/2019,83825,-0.012056855,-1.20%
265,2019,4 weeks, All Redfin Metros,metro,8/26/2019,9/22/2019,84826,0.011205684,1.10%
286,2019,4 weeks, All Redfin Metros,metro,9/16/2019,10/13/2019,83542,0.015461286,1.50%
300,2019,4 weeks, All Redfin Metros,metro,9/30/2019,10/27/2019,79297,0.00500621,0.50%
328,2019,4 weeks, All Redfin Metros,metro,10/28/2019,11/24/2019,67263,0.068378919,6.80%
335,2019,4 weeks, All Redfin Metros,metro,11/4/2019,12/1/2019,59138,-0.003152128,-0.30%
55,2019,4 weeks, All Redfin Metros,metro,1/28/2019,2/24/2019,76519,-0.04436063,-4.40%
97,2019,4 weeks, All Redfin Metros,metro,3/11/2019,4/7/2019,98201,0.037330854,3.70%
272,2019,4 weeks, All Redfin Metros,metro,9/2/2019,9/29/2019,85357,0.022031443,2.20%
279,2019,4 weeks, All Redfin Metros,metro,9/9/2019,10/6/2019,85686,0.023165286,2.30%
363,2019,4 weeks, All Redfin Metros,metro,12/2/2019,12/29/2019,43821,0.000273916,0.00%
12,2020,4 weeks, All Redfin Metros,metro,12/16/2019,1/12/2020,44995,-0.058583534,-5.90%
54,2020,4 weeks, All Redfin Metros,metro,1/27/2020,2/23/2020,79742,0.042120258,4.20%
173,2020,4 weeks, All Redfin Metros,metro,5/25/2020,6/21/2020,92687,-0.094588258,-9.50%
180,2020,4 weeks, All Redfin Metros,metro,6/1/2020,6/28/2020,96312,-0.059002843,-5.90%
194,2020,4 weeks, All Redfin Metros,metro,6/15/2020,7/12/2020,94871,0.006492749,0.60%
348,2020,4 weeks, All Redfin Metros,metro,11/16/2020,12/13/2020,63556,0.217268061,21.70%
31,2021,4 weeks, All Redfin Metros,metro,1/4/2021,1/31/2021,71232,-0.024566593,-2.50%
136,2021,4 weeks, All Redfin Metros,metro,4/19/2021,5/16/2021,104986,0.38310542,38.30%
178,2021,4 weeks, All Redfin Metros,metro,5/31/2021,6/27/2021,109769,0.139722984,14.00%
192,2021,4 weeks, All Redfin Metros,metro,6/14/2021,7/11/2021,104962,0.106365486,10.60%
318,2021,4 weeks, All Redfin Metros,metro,10/18/2021,11/14/2021,79881,-0.000913025,-0.10%
2,2022,4 weeks, All Redfin Metros,metro,12/6/2021,1/2/2022,43596,-0.072366321,-7.20%
24,2021,4 weeks, All Redfin Metros,metro,12/28/2020,1/24/2021,62695,-0.035654408,-3.60%
59,2021,4 weeks, All Redfin Metros,metro,2/1/2021,2/28/2021,75329,-0.09564685,-9.60%
129,2021,4 weeks, All Redfin Metros,metro,4/12/2021,5/9/2021,103191,0.488768341,48.90%
143,2021,4 weeks, All Redfin Metros,metro,4/26/2021,5/23/2021,107603,0.304610871,30.50%
185,2021,4 weeks, All Redfin Metros,metro,6/7/2021,7/4/2021,105763,0.13032094,13.00%
199,2021,4 weeks, All Redfin Metros,metro,6/21/2021,7/18/2021,104921,0.097833025,9.80%
262,2021,4 weeks, All Redfin Metros,metro,8/23/2021,9/19/2021,92045,-0.032815652,-3.30%
297,2021,4 weeks, All Redfin Metros,metro,9/27/2021,10/24/2021,88006,-0.040346324,-4.00%
339,2021,4 weeks, All Redfin Metros,metro,11/8/2021,12/5/2021,64195,-0.037050926,-3.70%
16,2022,4 weeks, All Redfin Metros,metro,12/20/2021,1/16/2022,46572,-0.104987028,-10.50%
37,2022,4 weeks, All Redfin Metros,metro,1/10/2022,2/6/2022,66115,-0.110472782,-11.00%
44,2022,4 weeks, All Redfin Metros,metro,1/17/2022,2/13/2022,68682.31204,-0.0849191,-8.50%
30,2022,4 weeks, All Redfin Metros,metro,1/3/2022,1/30/2022,63142,-0.113572552,-11.40%
51,2022,4 weeks, All Redfin Metros,metro,1/24/2022,2/20/2022,72304.79748,-0.020339844,-2.00%
342,2019,4 weeks, All Redfin Metros,metro,11/11/2019,12/8/2019,55817,0.00240648,0.20%
356,2019,4 weeks, All Redfin Metros,metro,11/25/2019,12/22/2019,47671,-0.094877345,-9.50%
68,2020,4 weeks, All Redfin Metros,metro,2/10/2020,3/8/2020,87466,0.054112032,5.40%
96,2020,4 weeks, All Redfin Metros,metro,3/9/2020,4/5/2020,79765,-0.187737396,-18.80%
103,2020,4 weeks, All Redfin Metros,metro,3/16/2020,4/12/2020,69318,-0.318393675,-31.80%
110,2020,4 weeks, All Redfin Metros,metro,3/23/2020,4/19/2020,62102,-0.387795741,-38.80%
131,2020,4 weeks, All Redfin Metros,metro,4/13/2020,5/10/2020,69313,-0.332669016,-33.30%
159,2020,4 weeks, All Redfin Metros,metro,5/11/2020,6/7/2020,88351,-0.14550853,-14.60%
187,2020,4 weeks, All Redfin Metros,metro,6/8/2020,7/5/2020,93569,-0.005938722,-0.60%
215,2020,4 weeks, All Redfin Metros,metro,7/6/2020,8/2/2020,98487,0.035582474,3.60%
229,2020,4 weeks, All Redfin Metros,metro,7/20/2020,8/16/2020,97647,0.091210817,9.10%
236,2020,4 weeks, All Redfin Metros,metro,7/27/2020,8/23/2020,97630,0.104062062,10.40%
264,2020,4 weeks, All Redfin Metros,metro,8/24/2020,9/20/2020,95168,0.121920166,12.20%
292,2020,4 weeks, All Redfin Metros,metro,9/21/2020,10/18/2020,93503,0.146544536,14.70%
313,2020,4 weeks, All Redfin Metros,metro,10/12/2020,11/8/2020,83547,0.141711193,14.20%
320,2020,4 weeks, All Redfin Metros,metro,10/19/2020,11/15/2020,79954,0.140977524,14.10%
327,2020,4 weeks, All Redfin Metros,metro,10/26/2020,11/22/2020,77779,0.156341525,15.60%
355,2020,4 weeks, All Redfin Metros,metro,11/23/2020,12/20/2020,58039,0.217490718,21.70%
362,2020,4 weeks, All Redfin Metros,metro,11/30/2020,12/27/2020,54123,0.235092764,23.50%
3,2021,4 weeks, All Redfin Metros,metro,12/7/2020,1/3/2021,46997,0.164560412,16.50%
10,2021,4 weeks, All Redfin Metros,metro,12/14/2020,1/10/2021,47724,0.060651183,6.10%
45,2021,4 weeks, All Redfin Metros,metro,1/18/2021,2/14/2021,75056,-0.038987977,-3.90%
73,2021,4 weeks, All Redfin Metros,metro,2/15/2021,3/14/2021,83721,-0.089583401,-9.00%
94,2021,4 weeks, All Redfin Metros,metro,3/8/2021,4/4/2021,92064,0.154190434,15.40%
101,2021,4 weeks, All Redfin Metros,metro,3/15/2021,4/11/2021,94829,0.368028506,36.80%
108,2021,4 weeks, All Redfin Metros,metro,3/22/2021,4/18/2021,97229,0.565633957,56.60%
150,2021,4 weeks, All Redfin Metros,metro,5/3/2021,5/30/2021,105383,0.254499786,25.40%
206,2021,4 weeks, All Redfin Metros,metro,6/28/2021,7/25/2021,103368,0.077917744,7.80%
